data,A,B,C,D
2017-01-22|10:18:00.000,5218.02002,-4.25488,117.90453,51.18753
2017-01-22|10:18:10.000,5181.39551,-4.24804,117.91965,51.21743
2017-01-22|10:18:20.000,5145.40674,-4.22755,117.94931,51.24143
2017-01-22|10:18:30.000,5181.33545,-4.27725,117.96343,51.2077
2017-01-22|10:18:40.000,5217.26416,-4.29678,117.97173,51.14044
2017-01-22|10:18:50.000,5226.62305,-4.2808,117.98002,51.08472
2017-01-22|10:19:00.000,5221.8623,-4.29384,117.97128,51.21167
2017-01-22|10:19:10.000,5188.68994,-4.27617,117.96576,51.26246
2017-01-22|10:19:20.000,5132.54297,-4.24089,117.97166,51.15488
2017-01-22|10:19:30.000,5150.65381,-4.29688,117.96645,51.05729
2017-01-22|10:19:40.000,5216.53955,-4.25511,117.98926,51.0461
2017-01-22|10:19:50.000,5158.39404,-4.27021,118.00764,51.01747
2017-01-22|10:20:00.000,5127.57568,-4.26854,117.98997,50.98857
2017-01-22|10:20:10.000,5118.87305,-4.263,118.01463,51.04168
2017-01-22|10:20:20.000,5155.02881,-4.30534,118.03604,51.07674
2017-01-22|10:20:30.000,5224.48242,-4.26944,118.05371,50.99253
2017-01-22|10:20:40.000,5177.56348,-4.26682,118.04033,50.89136
2017-01-22|10:20:50.000,5136.17871,-4.27781,118.05186,50.8323
2017-01-22|10:21:00.000,5194.67676,-4.31865,118.03637,50.82051
2017-01-22|10:21:10.000,5246.31836,-4.29546,118.06046,50.85226
2017-01-22|10:21:20.000,5173.97363,-4.27351,118.08456,50.88401
2017-01-22|10:21:30.000,5142.12158,-4.26576,118.0664,50.9203
2017-01-22|10:21:40.000,5123.60205,-4.28208,118.08532,50.98184
2017-01-22|10:21:50.000,5129.1377,-4.29912,118.09795,51.08487
2017-01-22|10:22:00.000,5178.91748,-4.30472,118.1095,51.21319
2017-01-22|10:22:10.000,5184.23242,-4.27036,118.09649,51.33207
2017-01-22|10:22:20.000,5165.8252,-4.28199,118.11853,51.42008
2017-01-22|10:22:30.000,5153.78369,-4.2573,118.12708,51.33602
2017-01-22|10:22:40.000,5177.25342,-4.27009,118.13563,51.3638
2017-01-22|10:22:50.000,5198.39502,-4.28353,118.13269,51.4299
2017-01-22|10:23:00.000,5177.00781,-4.28903,118.14692,51.52336
2017-01-22|10:23:10.000,5155.62109,-4.27857,118.14784,51.5151
2017-01-22|10:23:20.000,5145.9082,-4.27107,118.17072,51.50684
2017-01-22|10:23:30.000,5201.42578,-4.26162,118.18278,51.48624
2017-01-22|10:23:40.000,5221.66699,-4.29041,118.19079,51.41378
2017-01-22|10:23:50.000,5213.24463,-4.27311,118.21751,51.47693
2017-01-22|10:24:00.000,5191.96533,-4.27373,118.24013,51.57666
2017-01-22|10:24:10.000,5146.97705,-4.25759,118.23394,51.6738
2017-01-22|10:24:20.000,5128.62939,-4.26555,118.22562,51.75059
2017-01-22|10:24:30.000,5185.50586,-4.24155,118.23958,51.89996
2017-01-22|10:24:40.000,5167.57764,-4.28199,118.25294,51.91491
2017-01-22|10:24:50.000,5149.64941,-4.26366,118.26558,51.87668
2017-01-22|10:25:00.000,5146.66895,-4.25704,118.25063,51.86005
2017-01-22|10:25:10.000,5188.2002,-4.24687,118.27808,51.82475
2017-01-22|10:25:20.000,5197.0752,-4.25703,118.28312,51.86981
2017-01-22|10:25:30.000,5166.24707,-4.30432,118.29293,51.83717
2017-01-22|10:25:40.000,5135.41846,-4.28761,118.3036,51.76348
2017-01-22|10:25:50.000,5162.27637,-4.26927,118.31686,51.70046
2017-01-22|10:26:00.000,5192.09326,-4.27961,118.32124,51.68235
2017-01-22|10:26:10.000,5173.68066,-4.26705,118.30479,51.69234
2017-01-22|10:26:20.000,5146.83008,-4.30403,118.33585,51.70233
2017-01-22|10:26:30.000,5145.09473,-4.29642,118.34792,51.74618
2017-01-22|10:26:40.000,5173.93262,-4.3198,118.36308,51.8511
2017-01-22|10:26:50.000,5193.09619,-4.27717,118.37872,51.90085
2017-01-22|10:27:00.000,5183.37549,-4.26868,118.35664,51.83243
2017-01-22|10:27:10.000,5173.6543,-4.26392,118.37839,51.70803
2017-01-22|10:27:20.000,5178.40137,-4.29618,118.41347,51.71418
2017-01-22|10:27:30.000,5187.95313,-4.29294,118.40414,51.72033
2017-01-22|10:27:40.000,5197.50488,-4.30365,118.41745,51.71622
2017-01-22|10:27:50.000,5179.26611,-4.29013,118.42842,51.68535
2017-01-22|10:28:00.000,5159.5835,-4.29918,118.41964,51.7174
2017-01-22|10:28:10.000,5145.90625,-4.30326,118.43731,51.68773
2017-01-22|10:28:20.000,5143.35889,-4.3107,118.45498,51.63494
2017-01-22|10:28:30.000,5146.57568,-4.30062,118.46463,51.58936
2017-01-22|10:28:40.000,5167.0459,-4.26536,118.47162,51.55687
2017-01-22|10:28:50.000,5187.51611,-4.2822,118.47861,51.51548
2017-01-22|10:29:00.000,5172.28809,-4.31242,118.48559,51.4676
2017-01-22|10:29:10.000,5145.1792,-4.30738,118.46558,51.48654
2017-01-22|10:29:20.000,5118.0708,-4.31238,118.48328,51.50548
2017-01-22|10:29:30.000,5149.27783,-4.29268,118.46934,51.52333
2017-01-22|10:29:40.000,5152.99316,-4.304,118.51733,51.54029
2017-01-22|10:29:50.000,5131.7251,-4.29293,118.53129,51.58373
2017-01-22|10:30:00.000,5112.68311,-4.29478,118.51825,51.67602
2017-01-22|10:30:10.000,5135.93848,-4.28491,118.53482,51.68075
2017-01-22|10:30:20.000,5161.54932,-4.27104,118.54892,51.64382
2017-01-22|10:30:30.000,5190.04102,-4.26987,118.57458,51.63689
2017-01-22|10:30:40.000,5169.81396,-4.27378,118.58853,51.62996
2017-01-22|10:30:50.000,5133.33008,-4.27714,118.58117,51.62302
2017-01-22|10:31:00.000,5111.23291,-4.28726,118.59013,51.61609
2017-01-22|10:31:10.000,5170.85352,-4.29729,118.58405,51.60916
2017-01-22|10:31:20.000,5182.11426,-4.27517,118.59845,51.68076
2017-01-22|10:31:30.000,5153.76025,-4.26922,118.60602,51.61112
2017-01-22|10:31:40.000,5140.89795,-4.28836,118.61359,51.51898
2017-01-22|10:31:50.000,5216.09863,-4.28644,118.59619,51.41029
2017-01-22|10:32:00.000,5251.02051,-4.27826,118.62411,51.30877
2017-01-22|10:32:10.000,5236.61377,-4.27377,118.63182,51.21293
2017-01-22|10:32:20.000,5183.01172,-4.29893,118.64066,51.15705
2017-01-22|10:32:30.000,5122.46045,-4.31119,118.62292,51.0913
2017-01-22|10:32:34.000,5103.6084,-4.3135,118.63,51.05514
2017-01-22|10:32:44.000,5151.95654,-4.30151,118.65166,50.94965
2017-01-22|10:32:54.000,5145.29346,-4.28719,118.66358,50.87393
2017-01-22|10:33:04.000,5120.2251,-4.29146,118.68102,50.86061
2017-01-22|10:33:14.000,5095.15674,-4.28657,118.68487,50.87196
2017-01-22|10:33:24.000,5177.25488,-4.28925,118.71673,50.86932
2017-01-22|10:33:34.000,5191.24561,-4.28459,118.7015,50.88383
2017-01-22|10:33:44.000,5165.31006,-4.27255,118.74184,51.00039
2017-01-22|10:33:54.000,5141.82764,-4.27685,118.7751,50.92061
2017-01-22|10:34:04.000,5166.05127,-4.29099,118.75924,50.81889
2017-01-22|10:34:14.000,5190.27539,-4.29624,118.77399,50.83575
2017-01-22|10:34:24.000,5205.11768,-4.31012,118.75962,50.84709
2017-01-22|10:34:34.000,5214.88184,-4.28988,118.79417,50.85842
2017-01-22|10:34:44.000,5186.59521,-4.27897,118.78809,50.86976
2017-01-22|10:34:54.000,5127.01172,-4.28709,118.80913,50.88109
2017-01-22|10:35:04.000,5147.82617,-4.31631,118.81531,50.87559
2017-01-22|10:35:14.000,5203.11816,-4.29816,118.82032,50.97607
2017-01-22|10:35:24.000,5162.75244,-4.31247,118.83143,50.90731
2017-01-22|10:35:34.000,5122.38623,-4.27479,118.84618,50.85171
2017-01-22|10:35:44.000,5131.15527,-4.2852,118.83527,50.82174
2017-01-22|10:35:54.000,5224.71094,-4.27688,118.86352,50.79177
2017-01-22|10:36:04.000,5179.29834,-4.28836,118.87747,50.76181
2017-01-22|10:36:14.000,5138.00586,-4.2755,118.89285,50.73184
2017-01-22|10:36:24.000,5177.89355,-4.25311,118.90942,50.67509
2017-01-22|10:36:34.000,5217.78125,-4.29464,118.91791,50.6175
2017-01-22|10:36:44.000,5184.89746,-4.31059,118.92595,50.53543
2017-01-22|10:36:54.000,5128.56006,-4.31581,118.934,50.5757
2017-01-22|10:37:04.000,5182.84766,-4.32119,118.93224,50.58869
2017-01-22|10:37:14.000,5184.34473,-4.29791,118.96642,50.63214
2017-01-22|10:37:24.000,5142.31738,-4.26713,118.97525,50.68585
2017-01-22|10:37:34.000,5100.29004,-4.21821,118.98409,50.64923
2017-01-22|10:37:44.000,5178.83105,-4.23779,118.97141,50.55036
2017-01-22|10:37:54.000,5216.78467,-4.25498,119.00227,50.55276
2017-01-22|10:38:04.000,5187.73047,-4.27415,118.99679,50.52915
2017-01-22|10:38:14.000,5166.59375,-4.2412,119.01633,50.54892
2017-01-22|10:38:24.000,5146.87842,-4.26509,119.04134,50.56868
2017-01-22|10:38:34.000,5140.73438,-4.29679,119.0451,50.63037
2017-01-22|10:38:44.000,5175.80957,-4.27426,119.05985,50.61855
2017-01-22|10:38:54.000,5200.38184,-4.24908,119.05102,50.60672
2017-01-22|10:39:04.000,5193.0376,-4.25688,119.08968,50.58849
2017-01-22|10:39:14.000,5185.69385,-4.26363,119.07643,50.61688
2017-01-22|10:39:24.000,5166.74023,-4.27518,119.08879,50.60044
2017-01-22|10:39:34.000,5143.86523,-4.29636,119.0804,50.58132
2017-01-22|10:39:44.000,5132.39355,-4.26786,119.09926,50.61641
2017-01-22|10:39:54.000,5186.87988,-4.26223,119.11251,50.67295
2017-01-22|10:40:04.000,5217.84863,-4.25758,119.11312,50.7059
2017-01-22|10:40:14.000,5112.67676,-4.27705,119.11998,50.73954
2017-01-22|10:40:24.000,5121.58496,-4.28573,119.12018,50.8203
2017-01-22|10:40:34.000,5188.8335,-4.31015,119.1307,50.91534
2017-01-22|10:40:44.000,5146.26709,-4.27889,119.14935,50.97337
2017-01-22|10:40:54.000,5103.7002,-4.25491,119.15566,50.86272
2017-01-22|10:41:04.000,5124.02197,-4.24582,119.16197,50.89005
2017-01-22|10:41:14.000,5153.73828,-4.27987,119.16828,50.95048
2017-01-22|10:41:24.000,5143.77686,-4.30226,119.17459,50.94027
2017-01-22|10:41:34.000,5133.81543,-4.27457,119.18959,50.92241
2017-01-22|10:41:44.000,5128.65234,-4.29136,119.21845,50.93078
2017-01-22|10:41:54.000,5151.35303,-4.24681,119.20712,50.98855
2017-01-22|10:42:04.000,5169.34229,-4.28311,119.22753,51.08572
2017-01-22|10:42:14.000,5159.94629,-4.2986,119.23828,51.09737
2017-01-22|10:42:24.000,5150.55078,-4.29285,119.24848,51.04477
2017-01-22|10:42:34.000,5138.30762,-4.29884,119.23216,50.99696
2017-01-22|10:42:44.000,5109.49121,-4.25665,119.25591,51.00173
2017-01-22|10:42:54.000,5086.38672,-4.2814,119.27248,51.03328
2017-01-22|10:43:04.000,5180.40332,-4.30665,119.25798,51.01836
2017-01-22|10:43:14.000,5168.93896,-4.31978,119.30093,50.96667
2017-01-22|10:43:24.000,5138.34717,-4.31068,119.3041,50.9292
2017-01-22|10:43:34.000,5136.71875,-4.29149,119.3198,50.91884
2017-01-22|10:43:44.000,5171.00879,-4.30113,119.34103,50.97822
2017-01-22|10:43:54.000,5178.58203,-4.30171,119.35974,51.0717
2017-01-22|10:44:04.000,5153.00879,-4.29191,119.35107,51.16061
2017-01-22|10:44:14.000,5127.43555,-4.26572,119.37196,51.31561
2017-01-22|10:44:24.000,5122.34863,-4.27056,119.38458,51.43908
2017-01-22|10:44:34.000,5155.96582,-4.2883,119.39794,51.41588
2017-01-22|10:44:44.000,5143.53223,-4.2856,119.41154,51.44518
2017-01-22|10:44:54.000,5115.42725,-4.28011,119.42516,51.47243
2017-01-22|10:45:04.000,5087.32227,-4.29355,119.43876,51.49899
2017-01-22|10:45:14.000,5114.41357,-4.25858,119.41915,51.52554
2017-01-22|10:45:24.000,5137.40723,-4.26254,119.44569,51.49477
2017-01-22|10:45:34.000,5152.6416,-4.27031,119.45964,51.50774
2017-01-22|10:45:44.000,5172.36133,-4.27393,119.46201,51.53918
2017-01-22|10:45:54.000,5197.65674,-4.25147,119.44995,51.63504
2017-01-22|10:46:04.000,5222.95264,-4.22769,119.46692,51.7948
2017-01-22|10:46:14.000,5192.979,-4.25788,119.51039,51.89592
2017-01-22|10:46:24.000,5147.62158,-4.27944,119.49927,52.00422
2017-01-22|10:46:34.000,5160.26025,-4.28928,119.51134,52.16848
2017-01-22|10:46:44.000,5172.89844,-4.28257,119.52509,52.30122
2017-01-22|10:46:54.000,5204.52734,-4.2726,119.54403,52.26164
2017-01-22|10:47:04.000,5237.25049,-4.30875,119.56865,52.27076
2017-01-22|10:47:14.000,5269.97363,-4.33782,119.57468,52.33021
2017-01-22|10:47:24.000,5180.52686,-4.35499,119.59763,52.37788
2017-01-22|10:47:34.000,5171.34326,-4.30631,119.59617,52.41908
2017-01-22|10:47:44.000,5192.00049,-4.32389,119.58633,52.50586
2017-01-22|10:47:54.000,5212.54053,-4.32598,119.60937,52.59526
2017-01-22|10:48:04.000,5232.72119,-4.34772,119.62042,52.69551
2017-01-22|10:48:14.000,5252.90234,-4.34498,119.60294,52.77273
2017-01-22|10:48:24.000,5195.71826,-4.34502,119.62947,52.87751
2017-01-22|10:48:34.000,5105.04834,-4.32831,119.66956,52.99895
2017-01-22|10:48:44.000,5206.98535,-4.33854,119.69074,53.21238
2017-01-22|10:48:54.000,5270.11279,-4.36889,119.71915,53.32932
2017-01-22|10:49:04.000,5319.95557,-4.3824,119.72588,53.34648
2017-01-22|10:49:14.000,5314.89209,-4.37928,119.71672,53.42952
2017-01-22|10:49:24.000,5212.87207,-4.37447,119.70756,53.49638
2017-01-22|10:49:34.000,5268.17041,-4.37274,119.73495,53.54921
2017-01-22|10:49:44.000,5297.44189,-4.36214,119.75056,53.61004
2017-01-22|10:49:54.000,5277.23486,-4.39487,119.77886,53.6571
2017-01-22|10:50:04.000,5275.79688,-4.38108,119.79819,53.72759
2017-01-22|10:50:14.000,5310.05518,-4.3585,119.81623,53.88997
2017-01-22|10:50:24.000,5344.31396,-4.32943,119.8662,53.99522
2017-01-22|10:50:34.000,5327.35645,-4.37902,119.88586,54.08064
2017-01-22|10:50:44.000,5300.96826,-4.39078,119.90552,54.19972
2017-01-22|10:50:54.000,5312.5791,-4.36736,119.89557,54.31767
2017-01-22|10:51:04.000,5382.87158,-4.37257,119.90858,54.45441
2017-01-22|10:51:14.000,5372.2085,-4.343,119.93523,54.49044
2017-01-22|10:51:24.000,5361.5459,-4.39437,119.9545,54.51084
2017-01-22|10:51:34.000,5350.88281,-4.40832,119.98943,54.54077
2017-01-22|10:51:44.000,5376.52051,-4.4252,120.00751,54.59208
2017-01-22|10:51:54.000,5414.63574,-4.42298,120.02226,54.63802
2017-01-22|10:52:04.000,5400.11328,-4.44903,120.06285,54.69911
2017-01-22|10:52:14.000,5356.50537,-4.44353,120.08504,54.7111
2017-01-22|10:52:24.000,5384.8374,-4.41302,120.09779,54.69857
2017-01-22|10:52:34.000,5423.08545,-4.43143,120.10648,54.68604
2017-01-22|10:52:44.000,5404.38135,-4.41343,120.13827,54.75195
2017-01-22|10:52:54.000,5385.67725,-4.4105,120.15223,54.76086
2017-01-22|10:53:04.000,5366.97363,-4.42748,120.16302,54.77892
2017-01-22|10:53:14.000,5463.2959,-4.43953,120.16529,54.76533
2017-01-22|10:53:24.000,5454.5708,-4.46312,120.19847,54.7774
2017-01-22|10:53:34.000,5425.11621,-4.44502,120.2444,54.78949
2017-01-22|10:53:44.000,5459.90723,-4.43445,120.25838,54.81322
2017-01-22|10:53:54.000,5516.83936,-4.47069,120.28133,54.79889
2017-01-22|10:54:04.000,5540.86426,-4.45373,120.30925,54.77569
2017-01-22|10:54:14.000,5442.40527,-4.45693,120.27835,54.75172
2017-01-22|10:54:24.000,5485.23877,-4.46363,120.33163,54.71679
2017-01-22|10:54:34.000,5528.07227,-4.47527,120.35819,54.66852
2017-01-22|10:54:44.000,5480.4209,-4.43977,120.38469,54.62337
2017-01-22|10:54:54.000,5471.63135,-4.44649,120.37137,54.58099
2017-01-22|10:55:04.000,5493.70654,-4.49413,120.4207,54.50911
2017-01-22|10:55:14.000,5515.78174,-4.48487,120.43961,54.40238
2017-01-22|10:55:24.000,5471.73633,-4.47117,120.44888,54.29661
2017-01-22|10:55:34.000,5444.74902,-4.46608,120.48104,54.18593
2017-01-22|10:55:44.000,5467.91455,-4.47608,120.50295,54.06445
2017-01-22|10:55:54.000,5491.08008,-4.46978,120.52063,53.97184
2017-01-22|10:56:04.000,5455.19092,-4.47298,120.53979,53.95306
2017-01-22|10:56:14.000,5369.59961,-4.47169,120.56021,53.93428
2017-01-22|10:56:24.000,5543.7168,-4.45127,120.58063,53.94253
2017-01-22|10:56:34.000,5536.7373,-4.44967,120.59966,53.94574
2017-01-22|10:56:44.000,5503.88818,-4.45539,120.62893,53.86994
2017-01-22|10:56:54.000,5438.48535,-4.49383,120.65725,53.75606
2017-01-22|10:57:04.000,5440.68848,-4.49465,120.65089,53.66667
2017-01-22|10:57:14.000,5466.30078,-4.47819,120.67146,53.61928
2017-01-22|10:57:24.000,5455.82861,-4.46624,120.68707,53.57075
2017-01-22|10:57:34.000,5425.29541,-4.49291,120.7107,53.56511
2017-01-22|10:57:44.000,5458.95215,-4.48995,120.71675,53.52908
2017-01-22|10:57:54.000,5528.30957,-4.49763,120.74526,53.45968
2017-01-22|10:58:04.000,5540.74414,-4.48149,120.75307,53.41626
2017-01-22|10:58:14.000,5500.59375,-4.46599,120.76089,53.3568
2017-01-22|10:58:24.000,5451.64502,-4.4708,120.77179,53.30379
2017-01-22|10:58:34.000,5425.85986,-4.49371,120.79769,53.24201
2017-01-22|10:58:44.000,5419.625,-4.46785,120.81242,53.16301
2017-01-22|10:58:54.000,5425.74121,-4.48871,120.85027,53.18049
2017-01-22|10:59:04.000,5506.36768,-4.50243,120.8629,53.06241
2017-01-22|10:59:14.000,5475.25879,-4.4993,120.86118,52.89157
2017-01-22|10:59:24.000,5437.29541,-4.51251,120.88275,52.7569
2017-01-22|10:59:34.000,5441.75146,-4.48624,120.90656,52.58867
2017-01-22|10:59:44.000,5454.16162,-4.48391,120.90883,52.40277
2017-01-22|10:59:54.000,5466.57129,-4.46082,120.9408,52.26936
2017-01-22|11:00:04.000,5447.5249,-4.47297,120.94544,52.17617
2017-01-22|11:00:14.000,5422.57568,-4.44668,120.93053,52.13342
2017-01-22|11:00:24.000,5404.4751,-4.49841,120.98029,52.10733
2017-01-22|11:00:34.000,5395.02344,-4.46123,120.98978,51.87417
2017-01-22|11:00:44.000,5386.80371,-4.44871,120.99926,51.6905
2017-01-22|11:00:54.000,5382.3125,-4.40505,121.00874,51.54775
2017-01-22|11:01:04.000,5453.65674,-4.43156,121.01821,51.42952
2017-01-22|11:01:14.000,5476.40479,-4.44052,121.02769,51.29239
2017-01-22|11:01:24.000,5437.70313,-4.43966,121.04974,51.1176
2017-01-22|11:01:34.000,5428.18115,-4.42128,121.03492,50.91762
2017-01-22|11:01:44.000,5434.96582,-4.39436,121.04965,50.72414
2017-01-22|11:01:54.000,5441.75049,-4.40159,121.07418,50.57732
2017-01-22|11:02:04.000,5421.83105,-4.36542,121.06717,50.47795
2017-01-22|11:02:14.000,5391.18896,-4.35711,121.0699,50.54956
2017-01-22|11:02:24.000,5342.65967,-4.35278,121.08386,50.58413
2017-01-22|11:02:34.000,5342.84229,-4.35376,121.08744,50.61871
2017-01-22|11:02:44.000,5370.27148,-4.34797,121.11462,50.6758
2017-01-22|11:02:54.000,5372.92578,-4.3453,121.12292,50.78279
2017-01-22|11:03:04.000,5344.20068,-4.35745,121.13122,50.89973
2017-01-22|11:03:14.000,5315.47559,-4.31989,121.13797,51.01721
2017-01-22|11:03:24.000,5297.42432,-4.3348,121.11886,51.03465
2017-01-22|11:03:34.000,5344.40088,-4.3269,121.1446,51.02498
2017-01-22|11:03:44.000,5373.61865,-4.36487,121.15461,51.06444
2017-01-22|11:03:54.000,5399.47852,-4.3675,121.16462,51.10226
2017-01-22|11:04:04.000,5401.68262,-4.33628,121.17463,51.22254
2017-01-22|11:04:14.000,5373.88916,-4.34488,121.18463,51.37001
2017-01-22|11:04:24.000,5352.3208,-4.35072,121.17626,51.50004
2017-01-22|11:04:34.000,5334.24219,-4.3635,121.15883,51.56129
2017-01-22|11:04:44.000,5316.16357,-4.36631,121.14074,51.61276
2017-01-22|11:04:54.000,5327.41113,-4.36352,121.15179,51.70076
2017-01-22|11:05:04.000,5358.99023,-4.3494,121.16283,51.73432
2017-01-22|11:05:14.000,5396.21582,-4.36529,121.14388,51.76788
2017-01-22|11:05:24.000,5399.19678,-4.36294,121.14872,51.80421
2017-01-22|11:05:34.000,5373.06445,-4.36086,121.16344,51.85157
2017-01-22|11:05:44.000,5346.93262,-4.39638,121.18649,51.82034
2017-01-22|11:05:54.000,5393.57959,-4.36485,121.15408,51.77011
2017-01-22|11:06:04.000,5444.83984,-4.3682,121.16393,51.71989
2017-01-22|11:06:14.000,5391.94629,-4.34379,121.1909,51.66966
2017-01-22|11:06:24.000,5348.37256,-4.37634,121.18957,51.58803
2017-01-22|11:06:34.000,5307.99219,-4.37813,121.18515,51.58338
2017-01-22|11:06:44.000,5343.8501,-4.38979,121.17698,51.57873
2017-01-22|11:06:54.000,5369.08594,-4.36614,121.1779,51.61138
2017-01-22|11:07:04.000,5380.80811,-4.35687,121.19731,51.51194
2017-01-22|11:07:14.000,5392.53027,-4.38025,121.20887,51.39709
2017-01-22|11:07:24.000,5397.97217,-4.3906,121.20641,51.28043
2017-01-22|11:07:34.000,5391.22266,-4.39032,121.19756,51.09077
2017-01-22|11:07:44.000,5380.21484,-4.3704,121.22771,51.00419
2017-01-22|11:07:54.000,5360.93799,-4.35136,121.23833,50.9548
2017-01-22|11:08:04.000,5341.66064,-4.40073,121.23407,50.94537
2017-01-22|11:08:14.000,5354.12598,-4.40263,121.2389,50.92896
2017-01-22|11:08:24.000,5393.66357,-4.3803,121.21995,50.7977
2017-01-22|11:08:34.000,5402.23926,-4.39054,121.22749,50.77703
2017-01-22|11:08:44.000,5350.60547,-4.38382,121.26849,50.64935
2017-01-22|11:08:54.000,5337.19043,-4.41247,121.24883,50.55205
2017-01-22|11:09:04.000,5398.09863,-4.40848,121.27557,50.32909
2017-01-22|11:09:14.000,5433.3252,-4.38656,121.27991,50.31079
2017-01-22|11:09:24.000,5387.00586,-4.36477,121.28969,50.34483
2017-01-22|11:09:34.000,5393.55664,-4.37185,121.2854,50.32157
2017-01-22|11:09:44.000,5403.51807,-4.3677,121.32392,50.32206
2017-01-22|11:09:54.000,5410.59668,-4.36551,121.30191,50.22715
2017-01-22|11:10:04.000,5347.20264,-4.35752,121.30145,50.17011
2017-01-22|11:10:14.000,5283.80859,-4.35138,121.31409,50.18169
2017-01-22|11:10:24.000,5296.14893,-4.34673,121.32616,50.15993
2017-01-22|11:10:34.000,5313.39258,-4.34614,121.33472,50.07207
2017-01-22|11:10:44.000,5327.09668,-4.34219,121.34329,49.95504
2017-01-22|11:10:54.000,5340.12256,-4.37346,121.35037,49.82147
2017-01-22|11:11:04.000,5322.22021,-4.3514,121.34341,49.66766
2017-01-22|11:11:14.000,5302.30908,-4.31593,121.34692,49.61883
2017-01-22|11:11:24.000,5278.85303,-4.29692,121.376,49.6669
2017-01-22|11:11:34.000,5248.48291,-4.28392,121.36073,49.63084
2017-01-22|11:11:44.000,5218.11279,-4.28517,121.36774,49.56504
2017-01-22|11:11:54.000,5253.19189,-4.27103,121.35378,49.43008
2017-01-22|11:12:04.000,5300.84863,-4.23811,121.37626,49.32677
2017-01-22|11:12:14.000,5266.64355,-4.2331,121.3766,49.29834
2017-01-22|11:12:24.000,5239.71094,-4.25928,121.3695,49.24897
2017-01-22|11:12:34.000,5243.81445,-4.24396,121.34641,49.24802
2017-01-22|11:12:44.000,5247.91797,-4.23387,121.36541,49.15739
2017-01-22|11:12:54.000,5237.64453,-4.24179,121.33752,49.10927
2017-01-22|11:13:04.000,5215.0498,-4.25815,121.32272,49.10284
2017-01-22|11:13:14.000,5192.45508,-4.22224,121.31609,49.06786
2017-01-22|11:13:24.000,5188.70361,-4.22163,121.30946,49.02442
2017-01-22|11:13:34.000,5195.62451,-4.21038,121.30282,48.97488
2017-01-22|11:13:44.000,5202.54541,-4.18656,121.31443,48.96772
2017-01-22|11:13:54.000,5177.47021,-4.21896,121.31145,49.10105
2017-01-22|11:14:04.000,5146.21875,-4.19614,121.30254,49.16037
2017-01-22|11:14:14.000,5114.9668,-4.21714,121.31068,49.16899
2017-01-22|11:14:24.000,5179.94922,-4.21399,121.2997,49.12768
2017-01-22|11:14:34.000,5187.31104,-4.19757,121.30392,49.17306
2017-01-22|11:14:44.000,5151.43115,-4.1722,121.31758,49.1741
2017-01-22|11:14:54.000,5126.68457,-4.20439,121.28407,49.224
2017-01-22|11:15:04.000,5171.53906,-4.22158,121.2855,49.13493
2017-01-22|11:15:14.000,5179.75732,-4.19974,121.26089,49.15334
2017-01-22|11:15:24.000,5156.50146,-4.20418,121.26636,49.19101
2017-01-22|11:15:34.000,5133.24561,-4.19705,121.27287,49.2012
2017-01-22|11:15:44.000,5145.82031,-4.19855,121.29732,49.36671
2017-01-22|11:15:54.000,5189.20166,-4.20807,121.26577,49.40585
2017-01-22|11:16:04.000,5188.81201,-4.20934,121.25425,49.62428
2017-01-22|11:16:14.000,5132.16846,-4.19339,121.27082,49.75297
2017-01-22|11:16:24.000,5133.22119,-4.18884,121.26105,49.77517
2017-01-22|11:16:34.000,5208.42578,-4.17548,121.24952,49.7713
2017-01-22|11:16:44.000,5169.93164,-4.21536,121.26089,49.78654
2017-01-22|11:16:54.000,5116.47803,-4.19165,121.25233,49.88282
2017-01-22|11:17:04.000,5107.60352,-4.19613,121.26828,49.95724
2017-01-22|11:17:14.000,5102.89258,-4.2104,121.25768,49.9436
2017-01-22|11:17:24.000,5205.63623,-4.20408,121.24706,49.94439
2017-01-22|11:17:34.000,5240.80957,-4.189,121.2663,49.9582
2017-01-22|11:17:44.000,5160.86279,-4.22339,121.25552,50.10442
2017-01-22|11:17:54.000,5192.20068,-4.21194,121.24579,50.23774
2017-01-22|11:18:04.000,5223.53857,-4.21712,121.25784,50.36693
2017-01-22|11:18:14.000,5224.63379,-4.18089,121.2699,50.3468
2017-01-22|11:18:24.000,5208.14014,-4.19469,121.26629,50.31784
2017-01-22|11:18:34.000,5182.22559,-4.21395,121.2526,50.32616
2017-01-22|11:18:44.000,5156.31104,-4.22785,121.27104,50.33842
2017-01-22|11:18:54.000,5172.76465,-4.23498,121.24894,50.28344
2017-01-22|11:19:04.000,5197.4751,-4.23888,121.25221,50.17598
2017-01-22|11:19:14.000,5202.69482,-4.22406,121.27121,50.07107
2017-01-22|11:19:24.000,5182.78271,-4.25859,121.25353,49.94576
2017-01-22|11:19:34.000,5171.69873,-4.25597,121.25739,49.87632
2017-01-22|11:19:44.000,5178.00586,-4.27942,121.27065,49.81371
2017-01-22|11:19:54.000,5184.31299,-4.2383,121.24915,49.85812
2017-01-22|11:20:04.000,5200.20459,-4.23238,121.26524,49.9325
2017-01-22|11:20:14.000,5224.37305,-4.26517,121.28132,50.02127
2017-01-22|11:20:24.000,5248.5415,-4.24772,121.29741,50.00028
2017-01-22|11:20:34.000,5230.08154,-4.25836,121.28125,49.89727
2017-01-22|11:20:44.000,5180.8999,-4.24096,121.29601,49.72042
